"Customer","FamilyMembers","Lifestage","Model","rocauc"
"8587555","(3, 8)","FamilyWithKids","Baseline",0.631118881118881
"8607458","(3, 8)","FamilyWithKids","Baseline",0.587439903846154
"8615531","(1, 2)","FamilyWithKids","Baseline",0.501587301587302
"8736972","(1, 2)","FamilyWithKids","Baseline",0.666666666666667
"9007266","(3, 8)","FamilyWithKids","Baseline",0.654692082111437
"9059566","(3, 8)","FamilyWithKids","Baseline",0.548268238761975
"9139989","(3, 8)","FamilyWithKids","Baseline",0.692520265291083
"9155436","(3, 8)","FamilyWithKids","Baseline",0.5
"9274130","(3, 8)","FamilyWithKids","Baseline",0.717171717171717
"9279821","(3, 8)","ActiveAdults","Baseline",0.79059829059829
"9298060","(3, 8)","ActiveAdults","Baseline",0.715873015873016
"9303140","(1, 2)","ActiveAdults","Baseline",0.699579831932773
"9335132","(1, 2)","FamilyWithKids","Baseline",0.623397435897436
"9354586","(3, 8)","FamilyWithKids","Baseline",0.561298076923077
"9482519","(1, 2)","FamilyWithKids","Baseline",0.769480519480519
"9493177","(3, 8)","FamilyWithKids","Baseline",0.771439708939709
"9529316","(1, 2)","ActiveAdults","Baseline",0.680743243243243
"9574087","(3, 8)","FamilyWithKids","Baseline",0.583137829912024
"9749751","(1, 2)","FamilyWithKids","Baseline",0.768331226295828
"9758155","(3, 8)","ActiveAdults","Baseline",0.733793103448276
"9805405","(1, 2)","ActiveAdults","Baseline",0.592976588628763
"9832521","(1, 2)","ActiveAdults","Baseline",0.637286324786325
"9842261","(3, 8)","FamilyWithKids","Baseline",0.650206611570248
"10105631","(1, 2)","FamilyWithKids","Baseline",0.593023255813953
"10139080","(3, 8)","FamilyWithKids","Baseline",0.611379310344828
"10257405","(3, 8)","ActiveAdults","Baseline",0.711188811188811
"10532324","(3, 8)","FamilyWithKids","Baseline",0.680703624733476
"10640319","(1, 2)","ActiveAdults","Baseline",0.568134607395098
"10801631","(3, 8)","ActiveAdults","Baseline",0.550793650793651
"10894040","(1, 2)","ActiveAdults","Baseline",0.726744186046512
"10894888","(3, 8)","ActiveAdults","Baseline",0.576273388773389
"10900743","(1, 2)","ActiveAdults","Baseline",0.572222222222222
"10911303","(3, 8)","FamilyWithKids","Baseline",0.736135758651287
"10925652","(3, 8)","ActiveAdults","Baseline",0.59653647752395
"11172871","(3, 8)","FamilyWithKids","Baseline",0.681054239877769
"11257237","(1, 2)","ActiveAdults","Baseline",0.758400537634409
"11627871","(3, 8)","FamilyWithKids","Baseline",0.585
"11729338","(3, 8)","FamilyWithKids","Baseline",0.767761650114591
"11779601","(3, 8)","FamilyWithKids","Baseline",0.65515873015873
"11852324","(3, 8)","ActiveAdults","Baseline",0.680588942307692
"11912555","(1, 2)","FamilyWithKids","Baseline",0.58452380952381
"12078622","(1, 2)","FamilyWithKids","Baseline",0.764236410698878
"12120644","(1, 2)","FamilyWithKids","Baseline",0.722341337907376
"12167956","(3, 8)","ActiveAdults","Baseline",0.763965517241379
"12177802","(1, 2)","ActiveAdults","Baseline",0.67019595448799
"12223508","(3, 8)","FamilyWithKids","Baseline",0.621341463414634
"12237973","(3, 8)","ActiveAdults","Baseline",0.762527634487841
"12257542","(3, 8)","FamilyWithKids","Baseline",0.5
"12276650","(3, 8)","ActiveAdults","Baseline",0.768629807692308
"12504304","(1, 2)","ActiveAdults","Baseline",0.975
"12515785","(3, 8)","FamilyWithKids","Baseline",0.759259259259259
"12845306","(3, 8)","FamilyWithKids","Baseline",0.610576923076923
"12871209","(3, 8)","FamilyWithKids","Baseline",0.605563743551953
"12962537","(1, 2)","ActiveAdults","Baseline",0.62825
"12980036","(3, 8)","ActiveAdults","Baseline",0.691071428571429
"12980061","(1, 2)","FamilyWithKids","Baseline",0.521739130434783
"13025896","(3, 8)","ActiveAdults","Baseline",0.654545454545455
"13031606","(1, 2)","FamilyWithKids","Baseline",0.583694083694084
"13046181","(3, 8)","ActiveAdults","Baseline",0.711538461538462
"13048293","(3, 8)","ActiveAdults","Baseline",0.708677685950413
"13070182","(3, 8)","FamilyWithKids","Baseline",0.58435960591133
"13248069","(3, 8)","ActiveAdults","Baseline",0.496376811594203
"13283749","(3, 8)","ActiveAdults","Baseline",0.56948275862069
"13337486","(3, 8)","FamilyWithKids","Baseline",0
"13363691","(1, 2)","ActiveAdults","Baseline",0.768253968253968
"13376772","(1, 2)","FamilyWithKids","Baseline",0.619360902255639
"18885480","(1, 2)","FamilyWithKids","Baseline",0.621621621621622
"18893240","(3, 8)","ActiveAdults","Baseline",0.709349593495935
"18910735","(3, 8)","ActiveAdults","Baseline",0.607424071991001
"18915996","(3, 8)","FamilyWithKids","Baseline",0.83130081300813
"18917984","(1, 2)","FamilyWithKids","Baseline",0.767057569296375
"18926713","(3, 8)","FamilyWithKids","Baseline",0.592647058823529
"18933798","(3, 8)","ActiveAdults","Baseline",0.659459459459459
"18939620","(3, 8)","FamilyWithKids","Baseline",0.66547619047619
"18949341","(3, 8)","ActiveAdults","Baseline",0.699360341151386
"18970164","(3, 8)","FamilyWithKids","Baseline",0.821900826446281
"18974058","(3, 8)","FamilyWithKids","Baseline",0.786276715410574
"18979272","(3, 8)","ActiveAdults","Baseline",0.702173913043478
"19000317","(3, 8)","FamilyWithKids","Baseline",0.714818763326226
"19006325","(3, 8)","FamilyWithKids","Baseline",0.677506775067751
"19031006","(1, 2)","ActiveAdults","Baseline",0.590811965811966
"19063947","(3, 8)","ActiveAdults","Baseline",0.741887019230769
"19065018","(1, 2)","ActiveAdults","Baseline",0.688346883468835
"19081325","(3, 8)","FamilyWithKids","Baseline",0.5
"19111769","(3, 8)","ActiveAdults","Baseline",0.62962962962963
"19113568","(1, 2)","FamilyWithKids","Baseline",0
"19143595","(1, 2)","FamilyWithKids","Baseline",0.713573801613669
"19185625","(1, 2)","FamilyWithKids","Baseline",0.90551724137931
"19190685","(1, 2)","FamilyWithKids","Baseline",0
"19204079","(3, 8)","ActiveAdults","Baseline",0
"19210009","(3, 8)","FamilyWithKids","Baseline",0.708646616541353
"19211739","(3, 8)","ActiveAdults","Baseline",0.832825679475164
"19228548","(3, 8)","FamilyWithKids","Baseline",0.730168269230769
"19230069","(1, 2)","ActiveAdults","Baseline",0.59469696969697
"19243178","(3, 8)","FamilyWithKids","Baseline",0
"19262813","(1, 2)","ActiveAdults","Baseline",0.54618320610687
"19274514","(3, 8)","FamilyWithKids","Baseline",0.461309523809524
"19286793","(3, 8)","FamilyWithKids","Baseline",0.576127819548872
"19317441","(3, 8)","FamilyWithKids","Baseline",0.746983408748115
"19337241","(3, 8)","FamilyWithKids","Baseline",0.800733137829912
"19341334","(1, 2)","ActiveAdults","Baseline",0
"19342043","(3, 8)","FamilyWithKids","Baseline",0.636755823986195
"19342312","(1, 2)","FamilyWithKids","Baseline",0.767689784442362
"19361406","(3, 8)","FamilyWithKids","Baseline",0.661904761904762
"19383196","(1, 2)","ActiveAdults","Baseline",0.668703007518797
"19394771","(1, 2)","FamilyWithKids","Baseline",0.590785907859079
"19398541","(1, 2)","ActiveAdults","Baseline",0
"19437256","(3, 8)","ActiveAdults","Baseline",0.775193798449612
"19441686","(3, 8)","FamilyWithKids","Baseline",0.477611940298507
"19454531","(3, 8)","ActiveAdults","Baseline",0
"19480086","(3, 8)","FamilyWithKids","Baseline",0.649818087318087
"19489701","(3, 8)","ActiveAdults","Baseline",0.741624525916561
"19514535","(1, 2)","FamilyWithKids","Baseline",0.700247524752475
"19523710","(3, 8)","FamilyWithKids","Baseline",0.745307917888563
"19529623","(3, 8)","FamilyWithKids","Baseline",0.626218323586745
"19546916","(3, 8)","FamilyWithKids","Baseline",0.540819131390874
"19572027","(3, 8)","FamilyWithKids","Baseline",0.666522864538395
"19575323","(1, 2)","ActiveAdults","Baseline",0.555874840357599
"19575511","(1, 2)","FamilyWithKids","Baseline",0.733552631578947
"19582754","(3, 8)","ActiveAdults","Baseline",0.56984126984127
"19586197","(3, 8)","ActiveAdults","Baseline",0.752586206896552
"19589390","(3, 8)","FamilyWithKids","Baseline",0.636363636363636
"19593919","(3, 8)","ActiveAdults","Baseline",0.68215811965812
"19595267","(3, 8)","ActiveAdults","Baseline",0.546428571428571
"19620636","(3, 8)","ActiveAdults","Baseline",0.677609427609428
"19633437","(3, 8)","FamilyWithKids","Baseline",0.647222222222222
"19635030","(3, 8)","ActiveAdults","Baseline",0.664285714285714
"25527026","(3, 8)","FamilyWithKids","Baseline",0.749878048780488
"25616425","(1, 2)","FamilyWithKids","Baseline",0.788299663299663
"25624350","(3, 8)","FamilyWithKids","Baseline",0.549620733249052
"25797019","(3, 8)","ActiveAdults","Baseline",0.698292682926829
"25819293","(1, 2)","FamilyWithKids","Baseline",0.53006993006993
"25879492","(1, 2)","FamilyWithKids","Baseline",0.622742474916388
"25900167","(1, 2)","FamilyWithKids","Baseline",0.475
"26252886","(1, 2)","ActiveAdults","Baseline",0.58459595959596
"26253630","(3, 8)","ActiveAdults","Baseline",0.64969801553063
"26258025","(3, 8)","ActiveAdults","Baseline",0.536616161616162
"26269376","(3, 8)","ActiveAdults","Baseline",0.686458333333333
"26269953","(1, 2)","FamilyWithKids","Baseline",0.539632107023411
"26296755","(1, 2)","ActiveAdults","Baseline",0.599747474747475
"26305411","(1, 2)","FamilyWithKids","Baseline",0.63768115942029
"26306475","(3, 8)","ActiveAdults","Baseline",0.653149266609146
"26322109","(3, 8)","FamilyWithKids","Baseline",0.756641366223909
"26344568","(3, 8)","ActiveAdults","Baseline",0.607424071991001
"26346002","(3, 8)","FamilyWithKids","Baseline",0.705784819454679
"26364901","(1, 2)","ActiveAdults","Baseline",0.708015267175573
"26378476","(1, 2)","FamilyWithKids","Baseline",0.661840596330275
"26387868","(1, 2)","FamilyWithKids","Baseline",0.554837822979659
"26390959","(1, 2)","FamilyWithKids","Baseline",0.697025171624714
"26400080","(1, 2)","FamilyWithKids","Baseline",0.692647058823529
"26400246","(1, 2)","FamilyWithKids","Baseline",0.5
"26402016","(1, 2)","FamilyWithKids","Baseline",0.868650793650794
"26460149","(1, 2)","ActiveAdults","Baseline",0.588095238095238
"26475795","(3, 8)","ActiveAdults","Baseline",0.606060606060606
"26489265","(3, 8)","FamilyWithKids","Baseline",0.726940382452193
"26491740","(3, 8)","FamilyWithKids","Baseline",0.645150501672241
"26495222","(3, 8)","FamilyWithKids","Baseline",0.710470085470085
"26502467","(3, 8)","FamilyWithKids","Baseline",0.729513888888889
"26502565","(3, 8)","ActiveAdults","Baseline",0.642792792792793
"26513012","(1, 2)","ActiveAdults","Baseline",0.561868686868687
"26513514","(1, 2)","FamilyWithKids","Baseline",0.534113712374582
"26513722","(3, 8)","FamilyWithKids","Baseline",0.54480483782298
"26518495","(3, 8)","FamilyWithKids","Baseline",0.597023809523809
"26518659","(3, 8)","FamilyWithKids","Baseline",0.599266862170088
"26521517","(3, 8)","ActiveAdults","Baseline",0.685077519379845
"26522464","(1, 2)","FamilyWithKids","Baseline",0.743589743589744
"26535189","(3, 8)","FamilyWithKids","Baseline",0.815295815295815
"26544416","(3, 8)","ActiveAdults","Baseline",0.492805755395683
"26569507","(1, 2)","ActiveAdults","Baseline",0.5505
"26578057","(1, 2)","FamilyWithKids","Baseline",0.56013986013986
"26585161","(1, 2)","FamilyWithKids","Baseline",0.496350364963504
