CUSTOMER_ACCOUNT_NR_MASK,SUBCAT_CD_EXT,PROBABILITIES
31655,30201,0.630311083210907
31655,80404,0.5752271258728389
31655,90202,0.5197465941479964
31655,100202,0.4719958187428773
31655,70202,0.41218244493187906
31655,20303,0.4059295775460159
31655,50203,0.38350289236193663
31655,20307,0.3298430356219806
31655,50401,0.32272504748670044
31655,10206,0.29713786462710257
31655,80408,0.21704046786426842
31655,80415,0.19846030789714467
31655,170307,0.18078797626839466
31655,140203,0.17764331338894127
31655,170110,0.17755889785700002
31655,10208,0.14572529524415886
36467,80404,0.8045490712373928
36467,60105,0.7286716739407866
36467,10205,0.5796203006485735
36467,10204,0.5731173950727626
36467,100102,0.46263916104451236
36467,30202,0.4513331692275265
36467,10202,0.4158289399743291
36467,10206,0.37978139170652603
36467,140205,0.3304075134403151
36467,170101,0.268852535675178
36467,30208,0.22535426177766052
36467,170106,0.17082851060777315
36467,140203,0.13118667589318916
36467,170309,0.12432690872081884
36467,170303,0.11797459400877965
37912,10101,0.994009479898947
37912,30202,0.8926323160804533
37912,140206,0.8248095326091291
37912,30401,0.8226673126388221
37912,30202,0.8113524539554128
37912,140206,0.7903254485984165
37912,80110,0.7284293590293887
37912,50301,0.6849402540408557
37912,100102,0.6754974414090877
37912,60301,0.6438159511184594
37912,60404,0.6391127790386496
37912,50301,0.6279679914858994
37912,100102,0.6269220949469392
37912,140302,0.5439939306444181
37912,50302,0.49623561954713863
37912,60306,0.4646624610838898
37912,10206,0.42603844582096884
37912,80405,0.39683751578521115
37912,60402,0.3804147501436649
37912,20307,0.3569832371781284
53914,10204,0.855648209085368
53914,20302,0.7783910955636014
53914,50301,0.7474433262788137
53914,10204,0.7078181521533332
53914,80403,0.6741025275969206
53914,80411,0.6085334643570173
53914,80404,0.5317190604774994
53914,20303,0.30582074267351056
53914,10206,0.28897971971531866
53914,80402,0.2750043996774199
53914,80107,0.21571584002206776
53914,80402,0.2146096371309194
53914,30207,0.19440773731491093
53914,170108,0.18155902325796072
53914,80102,0.1590453552921278
53914,170108,0.1374321348139683
53914,80414,0.12540623085194308
65921,30401,0.9390574420078072
65921,90201,0.8163812077094175
65921,20301,0.6805172634687453
65921,70201,0.6339950470917511
65921,90201,0.6181126249961946
65921,10205,0.613193146933092
65921,80409,0.6024427013491307
65921,60402,0.5902134712481972
65921,80406,0.4909692287809961
65921,30402,0.4644084859713798
65921,30302,0.44406857631786345
65921,30204,0.4425970808091051
65921,30403,0.4106702161351481
65921,170111,0.406004504283072
65921,90204,0.3905012753846119
65921,60304,0.34793332819266026
